"user_id";"sex_type";"occupation";"education";"marriage";"person_type"
55597;2;2;3;1;4
55598;1;2;2;3;4
55599;2;2;4;2;1
55600;2;4;4;3;1
55601;1;2;3;1;4
55602;1;2;3;1;3
55603;1;2;3;3;3
55604;1;2;4;3;2
55605;1;2;2;1;2
55606;1;2;3;3;4
55607;2;2;4;4;1
55608;1;2;4;3;2
55609;1;2;3;1;4
55610;2;2;4;1;3
55611;1;2;4;3;2
55612;1;2;4;3;4
55613;1;2;4;1;4
55614;1;2;4;3;4
55615;1;2;2;2;2
55616;1;2;4;1;4
55617;1;2;3;3;3
55618;1;3;3;3;2
55619;1;4;4;1;1
55620;2;2;3;3;1
55621;1;2;4;3;1
55622;1;4;2;1;1
55623;1;3;4;3;4
55624;1;4;4;1;1
55625;1;2;4;1;2
55626;1;2;3;3;4
55627;1;2;4;4;3
55628;1;2;3;3;1
55629;1;4;4;4;1
55630;1;2;3;1;4
55631;2;2;2;3;4
55632;2;2;3;3;3
55633;1;2;3;1;4
55634;1;2;4;4;4
55635;1;2;4;2;4
55636;0;2;3;1;4
55637;1;2;4;1;3
55638;1;2;3;2;4
55639;1;2;3;3;4
55640;1;2;4;3;2
55641;1;2;4;3;2
55642;1;2;4;3;2
55643;2;4;3;3;4
55644;1;2;3;3;2
55645;1;3;3;1;1
55646;1;2;3;1;4
55647;0;4;3;3;4
55648;1;2;3;3;1
55649;1;2;4;1;4
55650;1;2;4;1;2
55651;1;2;4;1;2
55652;1;2;3;1;1
55653;1;2;4;1;4
55654;1;4;4;3;2
55655;1;4;3;1;1
55656;1;2;4;1;2
55657;1;2;3;1;4
55658;2;4;3;3;1
55659;1;2;3;3;1
55660;1;2;4;1;2
55661;2;2;3;1;1
55662;1;2;4;1;1
55663;2;4;3;1;1
55664;1;2;3;3;1
55665;1;2;3;1;4
55666;1;2;4;1;1
55667;1;2;3;3;2
55668;1;2;1;1;4
55669;0;3;4;1;2
55670;1;2;4;1;3
55671;2;4;2;1;3
55672;1;4;4;1;2
55673;2;4;2;3;1
55674;1;4;3;1;4
55675;1;2;3;3;2
55676;1;2;3;3;1
55677;1;2;4;1;2
55678;1;2;4;1;4
55679;2;2;3;1;2
55680;1;2;3;1;3
55681;1;2;3;3;3
55682;1;2;4;1;2
55683;1;2;2;1;3
55684;1;2;3;1;4
55685;0;2;3;1;3
55686;1;3;3;3;1
55687;1;2;4;1;4
55688;1;2;4;3;4
55689;1;2;3;1;1
55690;2;4;3;4;1
55691;1;2;3;2;2
55692;1;2;3;1;1
55693;1;0;0;0;0
55694;1;2;3;1;3
55695;1;4;3;1;4
55696;2;3;3;1;3
55697;1;3;3;1;2
55698;1;2;3;1;1
55699;1;2;3;3;1
55700;1;4;4;1;1
55701;2;2;4;2;3
55702;2;2;3;3;2
55703;0;0;0;0;0
55704;1;2;4;1;4
55705;1;2;3;3;2
55706;1;2;4;3;4
55707;2;2;4;1;1
55708;1;2;3;1;4
55709;1;4;2;3;2
55710;1;2;3;1;1
55711;1;2;4;1;2
55712;1;2;4;2;4
55713;1;2;2;2;2
55714;1;3;2;3;1
55715;1;2;3;1;3
55716;1;2;4;3;2
55717;1;2;3;1;1
55718;2;2;3;1;1
55719;1;2;3;3;4
55720;1;2;3;2;4
55721;1;2;3;2;1
55722;1;2;3;3;4
55723;1;2;4;3;1
55724;2;2;4;3;2
55725;1;2;4;3;2
55726;1;2;4;1;2
55727;1;2;4;1;4
55728;1;2;4;1;1
55729;1;2;3;4;1
55730;1;3;3;1;1
55731;2;2;3;3;1
55732;1;2;3;2;4
55733;1;2;2;3;1
55734;1;2;3;1;3
55735;2;2;3;1;1
55736;1;2;4;1;1
55737;1;2;2;1;2
55738;1;2;4;1;2
55739;1;0;0;0;0
55740;1;2;2;1;4
55741;1;2;4;1;1
55742;2;2;4;1;1
55743;1;2;4;1;3
55744;1;2;4;1;2
55745;1;4;4;1;4
55746;1;3;4;3;2
55747;1;2;3;1;1
55748;1;4;4;3;3
55749;2;2;2;1;2
55750;1;2;4;1;1
55751;2;2;2;1;1
55752;1;3;4;3;2
55753;1;3;4;3;1
55754;1;2;3;1;1
55755;1;2;3;3;1
55756;1;3;3;1;2
55757;1;2;3;1;4
55758;2;2;3;3;2
55759;1;2;4;3;2
55760;1;2;3;1;3
55761;1;2;2;1;3
55762;1;4;2;1;3
55763;2;2;3;1;1
55764;1;2;2;3;3
55765;0;2;4;3;4
55766;2;2;2;3;1
55767;0;4;4;3;2
55768;1;2;2;1;1
55769;1;4;3;1;2
55770;1;2;4;3;1
55771;1;2;4;1;2
55772;1;4;2;1;1
55773;2;2;4;1;4
55774;1;4;3;2;2
55775;2;2;3;3;3
55776;1;2;3;3;4
55777;1;2;2;1;1
55778;1;2;3;1;3
55779;0;0;0;0;0
55780;1;4;4;3;4
55781;2;2;4;3;4
55782;2;3;3;3;4
55783;1;2;2;1;2
55784;1;2;4;3;4
55785;1;2;3;3;3
55786;1;2;3;3;1
55787;2;4;3;3;1
55788;1;2;2;2;3
55789;1;3;4;1;4
55790;1;2;3;1;4
55791;1;2;2;3;1
55792;1;4;3;3;3
55793;2;2;4;3;1
55794;1;2;2;3;1
55795;1;2;3;2;2
55796;2;2;3;3;4
55797;1;2;4;1;2
55798;1;4;4;3;4
55799;1;2;4;3;2
55800;1;3;3;3;3
55801;1;2;4;3;1
55802;1;2;3;4;3
55803;0;2;3;1;4
55804;1;3;3;3;1
55805;2;2;4;1;4
55806;1;2;2;2;2
55807;2;2;3;1;2
55808;1;2;3;1;1
55809;1;2;4;1;1
55810;0;2;2;2;1
55811;1;2;3;1;3
55812;1;2;2;1;1
55813;1;4;3;2;2
55814;1;3;3;3;3
55815;1;2;4;3;2
55816;1;2;1;3;4
55817;1;2;4;3;2
55818;1;2;4;3;1
55819;2;2;4;3;2
55820;1;3;3;1;2
55821;1;2;3;1;2
55822;0;2;4;2;2
55823;1;2;4;3;1
55824;1;3;3;1;1
55825;2;4;4;2;2
55826;1;2;3;3;1
55827;1;2;3;1;3
55828;0;4;4;4;1
55829;1;2;3;3;4
55830;1;2;3;3;1
55831;2;2;4;3;2
55832;1;2;4;1;4
