"user_id";"sex_type";"occupation";"education";"marriage";"person_typpe";"sex_occupation";"sex_education";"sex_marriage";"sex_persontype";"occupation_education";"occupation_marriage";"occupation_persontype";"education_marriage";"education_persontype";"marriage_persontype";"credit_card_numbers";"mean_credit_limit";"max_credit_limit";"min_credit_limit";"s_1_times";"s_1_times_prob";"s_0_times";"s_0_times_prob";"mean_cycle_interest";"max_cycle_interest";"min_cycle_interest";"mean_zuidihuankuan";"min_zuidihuankuan";"max_zuidihuankuan";"mean_moneyreturn_rate";"mean_lastmoneyreturn";"min_lastmoneyreturn";"max_lastmoneyreturn";"mean_lastmoneyuse";"min_lastmoneyuse";"max_lastmoneyuse";"mean_consume_numbers";"max_consume_numbers";"min_consume_numbers";"mean_yue";"max_yue";"min_yue";"mean_jine";"max_jine";"min_jine";"bias_jine_yue";"mean_available";"max_available";"min_available";"mean_adjust";"max_adjust";"min_adjust";"consumed_money";"consumed_rate";"lable"
4;1;4;4;3;2;4.1;4.1;3.1;2.1;16.1;12.1;8.1;12.1;8.1;6.1;3;16.9211;20.4413;0.0;0;0.0;20;1.0;0.0;0.0;0.0;17.3409;15.8267;19.2221;0.726094;5.2574;0.0;19.4838;7.24066;0.0;19.4838;0;2;0;18.6372;20.575;15.8267;7.93833;19.5534;0.0;213.977;1.82582;19.6621;0.0;0.0;0.0;0.0;158.767;0.425941;1
6;1;2;4;1;3;2.1;4.1;1.1;3.1;8.1;2.1;6.1;4.1;12.1;3.1;3;20.5678;21.4973;19.9713;0;0.0;42;1.0;0.0;0.0;0.0;17.9767;0.0;20.1902;0.907441;17.3634;0.0;21.1778;19.1344;-18.1051;21.1988;3;9;0;19.1761;21.1988;-18.1051;12.4523;20.8504;0.0;282.398;2.44774;20.4647;-18.1051;0.0;0.0;0.0;522.997;0.649367;1
25;1;2;3;1;1;2.1;3.1;1.1;1.1;6.1;2.1;2.1;3.1;3.1;1.1;1;19.4604;19.4604;19.4604;0;0.0;8;1.0;0.0;0.0;0.0;17.0856;16.3422;18.2505;1.03902;14.8776;6.84997;19.912;14.3189;0.0;19.5814;0;0;0;19.1983;19.7484;18.5965;19.0314;19.7776;17.8764;1.33472;0.0;0.0;0.0;0.0;0.0;0.0;152.251;0.99131;1
42;1;2;4;3;1;2.1;4.1;3.1;1.1;8.1;6.1;2.1;12.1;4.1;3.1;5;19.0373;20.4413;0.0;0;0.0;58;1.0;0.0;0.0;0.0;15.6797;-17.9237;18.4219;0.910856;17.8446;0.0;20.4537;19.591;0.0;20.4511;1;3;0;19.1991;20.4511;0.0;17.7189;20.4517;14.8203;85.8539;1.05752;20.4511;0.0;0.0;0.0;0.0;1027.7;0.922901;1
60;1;2;2;3;4;2.1;2.1;3.1;4.1;4.1;6.1;8.1;6.1;8.1;12.1;1;18.3593;18.3618;18.3568;0;0.0;4;1.0;0.0;0.0;0.0;15.2716;13.8035;16.0614;1.01178;18.3514;17.3806;19.967;18.1377;17.47;18.364;1;1;0;17.5742;18.364;16.1065;18.3435;19.7702;17.3901;-3.07703;0.0;0.0;0.0;0.0;0.0;0.0;73.374;1.04377;1
61;2;2;3;2;2;4.1;6.1;4.1;4.1;6.1;4.1;4.1;6.1;6.1;4.1;1;20.2631;20.6644;19.4604;0;0.0;3;1.0;0.0;0.0;0.0;19.1693;18.3618;20.7844;0.66603;13.7763;0.0;20.6644;20.6842;20.6644;20.7237;1;2;0;20.7044;20.7844;20.6644;0.0;0.0;0.0;62.1132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
69;1;2;4;3;4;2.1;4.1;3.1;4.1;8.1;6.1;8.1;12.1;16.1;12.1;1;19.4604;19.4604;19.4604;0;0.0;1;1.0;0.0;0.0;0.0;17.1417;17.1417;17.1417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;19.4443;19.4443;19.4443;0.0;0.0;0.0;19.4443;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
70;1;2;2;1;1;2.1;2.1;1.1;1.1;4.1;2.1;2.1;2.1;2.1;1.1;1;21.763;21.763;21.763;0;0.0;20;1.0;0.0;0.0;0.0;9.49084;0.0;22.029;2.27416;7.95658;0.0;21.954;3.49869;-14.356;22.029;1;4;0;1.69582;22.029;-14.4568;8.58014;21.5888;0.0;-137.686;14.9049;21.7637;0.0;0.0;0.0;0.0;171.603;5.05957;1
99;1;2;2;1;3;2.1;2.1;1.1;3.1;4.1;2.1;6.1;2.1;6.1;3.1;4;13.0444;21.0699;0.0;0;0.0;56;1.0;5.63456;16.7558;0.0;16.1339;0.0;19.7522;0.787203;9.58934;0.0;20.0846;12.1815;0.0;20.9533;1;5;0;17.8493;20.9595;0.0;11.8113;20.8788;0.0;338.129;0.0;0.0;0.0;0.314293;17.6004;0.0;643.832;0.644115;1
102;1;2;4;1;4;2.1;4.1;1.1;4.1;8.1;2.1;8.1;4.1;16.1;4.1;1;19.4604;19.4604;19.4604;0;0.0;1;1.0;0.0;0.0;0.0;16.7863;16.7863;16.7863;1.00017;18.6997;18.6997;18.6997;18.6966;18.6966;18.6966;0;0;0;18.8773;18.8773;18.8773;18.8799;18.8799;18.8799;-0.00261307;0.0;0.0;0.0;0.0;0.0;0.0;18.8799;1.00014;1
